observation_date,ITAPIEATI01GPM_NBD20000201
2000-02-01,100.00000
2000-03-01,152.77636
2000-04-01,-9.95472
2000-05-01,142.47794
2000-06-01,99.61640
2000-07-01,94.50602
2000-08-01,30.42712
2000-09-01,211.97754
2000-10-01,68.14289
2000-11-01,56.22331
2000-12-01,-46.61018
2001-01-01,57.60577
2001-02-01,25.01119
2001-03-01,6.54465
2001-04-01,63.78378
2001-05-01,-29.43282
2001-06-01,4.48458
2001-07-01,-80.61111
2001-08-01,-31.47041
2001-09-01,2.90540
2001-10-01,-83.55264
2001-11-01,-54.07608
2001-12-01,-47.36491
2002-01-01,67.48999
2002-02-01,-0.86256
2002-03-01,65.26267
2002-04-01,38.14143
2002-05-01,-0.53715
2002-06-01,-54.55261
2002-07-01,55.33916
2002-08-01,55.95284
2002-09-01,88.02776
2002-10-01,18.83312
2002-11-01,-85.81876
2002-12-01,89.77547
2003-01-01,105.36855
2003-02-01,80.21517
2003-03-01,22.80863
2003-04-01,-112.17963
2003-05-01,-91.74552
2003-06-01,-7.37558
2003-07-01,25.54034
2003-08-01,39.18435
2003-09-01,-5.75888
2003-10-01,15.75879
2003-11-01,14.28311
2003-12-01,-37.05682
2004-01-01,23.97936
2004-02-01,22.26290
2004-03-01,192.85712
2004-04-01,116.02663
2004-05-01,187.23897
2004-06-01,27.42062
2004-07-01,96.75180
2004-08-01,82.45701
2004-09-01,55.61217
2004-10-01,119.73180
2004-11-01,-16.50168
2004-12-01,-79.06292
2005-01-01,207.21293
2005-02-01,28.19052
2005-03-01,129.96674
2005-04-01,66.05963
2005-05-01,-46.13728
2005-06-01,142.95242
2005-07-01,75.09114
2005-08-01,63.69933
2005-09-01,86.57405
2005-10-01,122.34254
2005-11-01,-42.80562
2005-12-01,19.41276
2006-01-01,329.62729
2006-02-01,134.75742
2006-03-01,118.48853
2006-04-01,179.07003
2006-05-01,70.89201
2006-06-01,34.19386
2006-07-01,251.68051
2006-08-01,-15.27477
2006-09-01,-193.05942
2006-10-01,-7.63965
2006-11-01,-28.63632
2006-12-01,-6.61919
2007-01-01,111.06835
2007-02-01,58.41759
2007-03-01,122.56291
2007-04-01,138.38762
2007-05-01,97.96992
2007-06-01,71.39520
2007-07-01,88.76506
2007-08-01,74.67088
2007-09-01,107.94847
2007-10-01,117.46769
2007-11-01,200.18901
2007-12-01,28.58053
2008-01-01,116.80016
2008-02-01,175.18286
2008-03-01,112.21247
2008-04-01,89.01017
2008-05-01,318.02893
2008-06-01,244.51559
2008-07-01,213.94670
2008-08-01,-39.74247
2008-09-01,-29.87453
2008-10-01,-383.63000
2008-11-01,-485.97201
2008-12-01,-367.95706
2009-01-01,-148.21303
2009-02-01,-152.07004
2009-03-01,-161.10716
2009-04-01,-99.06852
2009-05-01,1.11148
2009-06-01,124.00820
2009-07-01,-139.70345
2009-08-01,156.30689
2009-09-01,-99.22427
2009-10-01,33.32982
2009-11-01,64.62967
2009-12-01,10.32790
2010-01-01,264.18629
2010-02-01,36.41517
2010-03-01,94.83342
2010-04-01,158.56748
2010-05-01,137.17736
2010-06-01,57.44966
2010-07-01,7.67544
2010-08-01,32.52073
2010-09-01,52.43499
2010-10-01,-77.49578
2010-11-01,41.97030
2010-12-01,135.73392
2011-01-01,271.47750
2011-02-01,126.28171
2011-03-01,201.76815
2011-04-01,175.07937
2011-05-01,5.38087
2011-06-01,42.66989
2011-07-01,101.07542
2011-08-01,18.51134
2011-09-01,50.95882
2011-10-01,-11.14324
2011-11-01,42.65290
2011-12-01,28.52422
2012-01-01,167.10227
2012-02-01,86.39772
2012-03-01,102.60352
2012-04-01,62.99214
2012-05-01,-54.28844
2012-06-01,-47.25006
2012-07-01,79.43720
2012-08-01,202.81188
2012-09-01,-18.95742
2012-10-01,-100.89827
2012-11-01,-99.28237
2012-12-01,-21.73779
2013-01-01,-33.15790
2013-02-01,32.82631
2013-03-01,-17.26728
2013-04-01,-105.43976
2013-05-01,-32.11317
2013-06-01,35.64596
2013-07-01,-6.96888
2013-08-01,34.57660
2013-09-01,-6.94098
2013-10-01,-136.29176
2013-11-01,-14.89287
2013-12-01,2.88558
2014-01-01,-33.37684
2014-02-01,-17.30934
2014-03-01,-32.52016
2014-04-01,-12.49252
2014-05-01,-8.04144
2014-06-01,72.27702
2014-07-01,-49.99305
2014-08-01,-40.35484
2014-09-01,-15.47951
2014-10-01,-52.33268
2014-11-01,-33.21432
2014-12-01,-161.43459
2015-01-01,-266.07589
2015-02-01,174.67404
2015-03-01,34.82620
2015-04-01,44.49358
