observation_date,ITAPROINDMISMEI
2000-02-01,125.70630
2000-03-01,126.75910
2000-04-01,127.70660
2000-05-01,128.44360
2000-06-01,128.23300
2000-07-01,127.39080
2000-08-01,128.44360
2000-09-01,128.33830
2000-10-01,128.86470
2000-11-01,130.54920
2000-12-01,132.12840
2001-01-01,128.65410
2001-02-01,127.91720
2001-03-01,128.02250
2001-04-01,126.44320
2001-05-01,126.54850
2001-06-01,126.86440
2001-07-01,124.33760
2001-08-01,126.44320
2001-09-01,124.75870
2001-10-01,123.70590
2001-11-01,122.02140
2001-12-01,123.81120
2002-01-01,122.75840
2002-02-01,124.12700
2002-03-01,125.17990
2002-04-01,121.07390
2002-05-01,125.60100
2002-06-01,124.44290
2002-07-01,123.70590
2002-08-01,122.02140
2002-09-01,124.75870
2002-10-01,123.07420
2002-11-01,125.39040
2002-12-01,124.12700
2003-01-01,125.39040
2003-02-01,122.86370
2003-03-01,123.07420
2003-04-01,124.75870
2003-05-01,120.54750
2003-06-01,122.12670
2003-07-01,123.81120
2003-08-01,120.65270
2003-09-01,121.38970
2003-10-01,122.96890
2003-11-01,124.54820
2003-12-01,124.54820
2004-01-01,124.65350
2004-02-01,124.23230
2004-03-01,121.81080
2004-04-01,124.23230
2004-05-01,123.91650
2004-06-01,123.17950
2004-07-01,123.49540
2004-08-01,120.54750
2004-09-01,122.44250
2004-10-01,123.70590
2004-11-01,121.60030
2004-12-01,120.54750
2005-01-01,120.75800
2005-02-01,121.28440
2005-03-01,121.28440
2005-04-01,124.12700
2005-05-01,121.07390
2005-06-01,121.07390
2005-07-01,122.75840
2005-08-01,121.91610
2005-09-01,122.44250
2005-10-01,122.65310
2005-11-01,123.91650
2005-12-01,122.02140
2006-01-01,122.44250
2006-02-01,124.86400
2006-03-01,125.49570
2006-04-01,124.44290
2006-05-01,127.39080
2006-06-01,127.70660
2006-07-01,125.81150
2006-08-01,127.60130
2006-09-01,127.39080
2006-10-01,127.60130
2006-11-01,127.60130
2006-12-01,129.91750
2007-01-01,128.33830
2007-02-01,129.28580
2007-03-01,130.23340
2007-04-01,127.81190
2007-05-01,130.33870
2007-06-01,129.70700
2007-07-01,128.75940
2007-08-01,133.81290
2007-09-01,130.33870
2007-10-01,129.07530
2007-11-01,127.39080
2007-12-01,128.23300
2008-01-01,131.07560
2008-02-01,130.33870
2008-03-01,130.97040
2008-04-01,132.02320
2008-05-01,127.39080
2008-06-01,128.75940
2008-07-01,124.65350
2008-08-01,121.91610
2008-09-01,120.96860
2008-10-01,118.44180
2008-11-01,114.33580
2008-12-01,109.28230
2009-01-01,105.38690
2009-02-01,101.28090
2009-03-01,97.38551
2009-04-01,98.01720
2009-05-01,99.59642
2009-06-01,98.85945
2009-07-01,101.17560
2009-08-01,98.96473
2009-09-01,101.91260
2009-10-01,103.70240
2009-11-01,103.91300
2009-12-01,102.33370
2010-01-01,105.80800
